epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6054,1.0899,2.11867,2.74145,1.35914,0.80218,0.88998,0.93916,0.6679,0.74553,0.83333,0.82136,0.56125,1.5278,2.51462,1.04752,1.33242,0,0,0
2,15.0032,1.06997,3.38364,2.9094,1.41187,0.78259,0.896,0.93952,0.66328,0.72423,0.83765,0.82169,0.56341,1.5343,2.52575,1.05071,1.33251,1.17822e-06,1.17822e-06,1.17822e-06
3,16.1727,1.18413,2.83784,3.10686,1.44274,0.77852,0.90513,0.93987,0.67142,0.71622,0.84284,0.82189,0.56184,1.52473,2.51227,1.0688,1.32416,2.33288e-06,2.33288e-06,2.33288e-06
4,17.6252,0.96735,2.29459,2.10739,1.1874,0.77728,0.90832,0.93976,0.67287,0.71299,0.84402,0.82188,0.56338,1.52114,2.51992,1.06439,1.32458,3.46397e-06,3.46397e-06,3.46397e-06
5,19.1039,0.94615,2.42521,2.36139,1.28495,0.77248,0.91591,0.93921,0.67266,0.70343,0.84686,0.8216,0.56339,1.52904,2.52127,1.08368,1.33176,4.5715e-06,4.5715e-06,4.5715e-06
6,20.9257,0.93104,2.81721,2.0656,1.12985,0.76406,0.92584,0.94171,0.67336,0.68822,0.85,0.82138,0.56332,1.52441,2.51914,1.09092,1.3311,5.65548e-06,5.65548e-06,5.65548e-06
7,22.5741,1.22381,2.58639,2.79502,1.41825,0.72635,0.93333,0.94243,0.68112,0.64557,0.85,0.84919,0.57836,1.54229,2.51163,1.09855,1.33254,6.71588e-06,6.71588e-06,6.71588e-06
8,23.9662,1.08295,2.72086,4.2805,1.43073,0.71271,0.95,0.94335,0.66504,0.62266,0.85,0.84866,0.57827,1.55568,2.50596,1.1013,1.3378,7.75273e-06,7.75273e-06,7.75273e-06
9,25.2489,1.01717,2.70753,2.59464,1.25207,0.68568,0.95,0.94319,0.66385,0.60178,0.85,0.84837,0.58064,1.56521,2.5021,1.10336,1.34154,8.76602e-06,8.76602e-06,8.76602e-06
10,26.452,0.78463,2.25966,2.12084,1.09809,0.65645,0.95,0.94365,0.64581,0.57616,0.85,0.81879,0.55712,1.57444,2.50098,1.11993,1.34475,9.75574e-06,9.75574e-06,9.75574e-06
11,27.5636,1.10205,2.28948,2.07648,1.32125,0.65404,0.95,0.94337,0.64994,0.57516,0.85,0.81845,0.54833,1.58336,2.50215,1.13061,1.34944,1.07219e-05,1.07219e-05,1.07219e-05
12,28.9572,1.06472,3.12565,2.73869,1.27047,0.62522,0.95,0.94522,0.64638,0.53245,0.83333,0.80393,0.54745,1.59501,2.5016,1.14416,1.35303,1.16645e-05,1.16645e-05,1.16645e-05
13,30.5868,0.89508,2.95916,2.41426,1.26955,0.6384,0.95,0.94338,0.66378,0.84794,0.61528,0.8307,0.55278,1.61079,2.51108,1.16183,1.36287,1.25835e-05,1.25835e-05,1.25835e-05
14,31.9102,0.89244,2.29466,1.89008,1.16361,0.92025,0.709,0.94511,0.66439,0.84823,0.61533,0.83165,0.55304,1.61344,2.51632,1.17338,1.36181,1.3479e-05,1.3479e-05,1.3479e-05
